date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:19	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:30:23%20GMT	https://paigejo.wordpress.com/2015/10/01/bio/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/bio/index9a7b.html	(from https://paigejo.wordpress.com/2015/10/01/bio/)
12:31:21	73118/73118	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202017%2019:31:18%20GMT	https://paigejo.wordpress.com/author/paigejo/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/author/paigejo/index.html	(from https://paigejo.wordpress.com/2015/10/01/bio/)
12:31:21	14633/14633	---MCZ	200	added ('OK')	text/html	etag:W/%220357383ee40f3815eaf0f4c237d4b079%22	https://paigejo.wordpress.com/2015/10/01/publications/amp/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/publications/amp/index.html	(from https://paigejo.wordpress.com/2015/10/01/publications/)
12:31:26	864/864	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a8b342cba75716511f68d7c0cbd42399%22	https://paigejo.wordpress.com/2015/10/01/bio/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/bio/feed/index.html	(from https://paigejo.wordpress.com/2015/10/01/bio/)
12:32:18	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:31:22%20GMT	https://paigejo.wordpress.com/2015/10/01/publications/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/publications/index5a58.html	(from https://paigejo.wordpress.com/2015/10/01/publications/)
12:32:20	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:31:21%20GMT	https://paigejo.wordpress.com/2015/10/01/publications/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/publications/index9a7b.html	(from https://paigejo.wordpress.com/2015/10/01/publications/)
12:32:21	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:31:27%20GMT	https://paigejo.wordpress.com/2015/10/01/publications/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/publications/index386f.html	(from https://paigejo.wordpress.com/2015/10/01/publications/)
12:32:22	14462/14462	---MCZ	200	added ('OK')	text/html	etag:W/%220357383ee40f3815eaf0f4c237d4b079%22	https://paigejo.wordpress.com/2015/10/01/research-interests/amp/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/research-interests/amp/index.html	(from https://paigejo.wordpress.com/2015/10/01/research-interests/)
12:32:22	891/891	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2219931a5209de051eb7d7ad3cbf8a5132%22	https://paigejo.wordpress.com/2015/10/01/publications/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/publications/feed/index.html	(from https://paigejo.wordpress.com/2015/10/01/publications/)
12:33:17	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:32:23%20GMT	https://paigejo.wordpress.com/2015/10/01/research-interests/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/research-interests/index386f.html	(from https://paigejo.wordpress.com/2015/10/01/research-interests/)
